time,velocity,terrain,step_index
1.4250,0.3131,FLAT,1
2.2250,0.5815,FLAT,2
3.2500,0.4536,FLAT,3
4.4000,0.3984,FLAT,4
5.4500,0.4093,FLAT,5
6.6000,0.3081,RAMP,6
7.6500,0.3255,RAMP,7
8.8000,0.3331,RAMP,8
9.8500,0.3566,RAMP,9
11.0000,0.3178,RAMP,10
12.0500,0.3157,RAMP,11
13.2000,0.2895,RAMP,12
14.2500,0.3027,RAMP,13
15.4000,0.3172,RAMP,14
16.4250,0.3149,RAMP,15
17.6000,0.2943,RAMP,16
18.6250,0.3211,RAMP,17
19.8000,0.3214,RAMP,18
20.8250,0.3398,TRENCH,19
22.0000,0.3016,TRENCH,20
23.0250,0.3548,TRENCH,21
24.2000,0.2764,TRENCH,22
25.2250,0.3486,TRENCH,23
26.4000,0.3002,TRENCH,24
27.4250,0.3212,TRENCH,25
28.5750,0.3313,TRENCH,26
29.6250,0.3399,TRENCH,27
30.7750,0.2033,BEAM,28
31.8250,0.2306,BEAM,29
33.0000,0.1963,BEAM,30
34.0500,0.2055,BEAM,31
35.2000,0.1802,BEAM,32
36.2500,0.2124,BEAM,33
37.4000,0.1846,BEAM,34
38.4500,0.2107,BEAM,35
39.6000,0.2107,BEAM,36
40.6500,0.2068,BEAM,37
41.8000,0.1809,BEAM,38
42.8500,0.3238,STAIRS,39
44.0000,0.3291,STAIRS,40
45.0500,0.3181,STAIRS,41
46.2000,0.3133,STAIRS,42
47.2500,0.3000,STAIRS,43
48.4000,0.2954,STAIRS,44
49.4500,0.3844,SLIPPERY,45
50.6000,0.3407,SLIPPERY,46
51.6500,0.4027,SLIPPERY,47
52.8000,0.3641,SLIPPERY,48
53.8500,0.4154,SLIPPERY,49
55.0000,0.3484,SLIPPERY,50
56.0500,0.3795,SLIPPERY,51
57.2000,0.3410,SLIPPERY,52
58.2250,0.3867,SLIPPERY,53
